রপ্তানি	﻿রপ্তানি
কেবল	কেবল
কর্মফলের	কর্মফলের
দিকে	দিকে
লক্ষ্য	লক্ষ্য
রেখে	রেখে
কর্মের	কর্মের
নৈতিক	নৈতিক
বিচার	বিচার
করলে	করলে
সেই	সেই
বিচার	বিচার
ন্যায়	ন্যায়
সঙ্গ	সঙ্গ
হতে	হতে
পারে	পারে
না	না

কিন্তু	কিন্তু
না	না

আর	আর
একটি	একটি
কথা	কথা

পৃথু	পৃথু
খাটের	খাটের
কোণায়	কোণায়
বসেই	বসেই
রইল	রইল

তাদের	তাদের
ভাবগতিক	ভাবগতিক
ভালো	ভালো
নয়	নয়

যে	যে
পুরুষ	পুরুষ
যে	যে
নাবালক	নাবালক
বালিকাকে	বালিকাকে
বিবাহ	বিবাহ
করিতে	করিতে
পারবেন	পারবেন
তিনি	তিনি
ঐ	ঐ
বালিকার	বালিকার
শরীর	শরীর
রক্ষার	রক্ষার
অভিভাবক	অভিভাবক
হইতে	হইতে
পারিবেন	পারিবেন
না	না

বন্ধ	বন্ধ
ভাঙ্গতে	ভাঙ্গতে
ক্যামেরুনের	ক্যামেরুনের
খেলাই	খেলাই
সি	সি
পি	পি
এমের	এমের
অস্ত্র	অস্ত্র
স্টাফ	স্টাফ
রিপোর্টার	রিপোর্টার
কংগ্রেসের	কংগ্রেসের
বাংলা	বাংলা
বন্ধ	বন্ধ
ভাঙতে	ভাঙতে
ক্যামেরুনের	ক্যামেরুনের
খেলা	খেলা
এখন	এখন
সি	সি
পি	পি
এমের	এমের
বড়	বড়
হাতিয়ার	হাতিয়ার

শিক্ষায়তনের	শিক্ষায়তনের
পরিবেশেই	পরিবেশেই
সমাজ	সমাজ
জীবনের	জীবনের
গুরুত্বপূর্ণ	গুরুত্বপূর্ণ
সমস্যা	সমস্যা
সম্পর্কে	সম্পর্কে
ছাত্র-ছাত্রীগণ	ছাত্র-ছাত্রীগণ
জ্ঞানলাভ	জ্ঞানলাভ
করিতে	করিতে
পারে	পারে
শিক্ষক-শিক্ষিকাগণের	শিক্ষক-শিক্ষিকাগণের
ধ্যান-ধারণার	ধ্যান-ধারণার
আদর্শে	আদর্শে
অনুপ্রাণিত	অনুপ্রাণিত
হইতে	হইতে
পারে	পারে

প্রাচ্য	প্রাচ্য
ও	ও
প্রতীচ্যের	প্রতীচ্যের
কোন	কোন
এক	এক
সরস	সরস
মেলবন্ধন	মেলবন্ধন

বিপিন	বিপিন
বিহারী	বিহারী
ঘোষাল	ঘোষাল

যেখানে	যেখানে
যখন	যখন
যতটুকু	যতটুকু
সম্ভবপর	সম্ভবপর
ততটুকু	ততটুকু
প্রতিবিধানের	প্রতিবিধানের
চেষ্টা	চেষ্টা
চালিয়ে	চালিয়ে
যাওয়া	যাওয়া
হচ্ছে	হচ্ছে

নারদ	নারদ
মুনি	মুনি
আসলে	আসলে
বলতে	বলতে
চেয়েছিলেন	চেয়েছিলেন
আগে	আগে
বাগদান	বাগদান
করা	করা
হয়েছে	হয়েছে
যাকে	যাকে
পরবর্তীকালে	পরবর্তীকালে
তার	তার
থকে	থকে
ভাল	ভাল
পাত্র	পাত্র
পাওয়া	পাওয়া
গেলেও	গেলেও
কন্যাকে	কন্যাকে
সেই	সেই
পাত্রে	পাত্রে
দান	দান
করা	করা
যাবে	যাবে
না	না

ঊনবিংশ	ঊনবিংশ
শতাব্দীর	শতাব্দীর
বাংলার	বাংলার
অন্যতম	অন্যতম
শ্রেষ্ঠ	শ্রেষ্ঠ
সংগীত-সাধক	সংগীত-সাধক
বিষ্ণু	বিষ্ণু
চক্রবর্তী	চক্রবর্তী
সংগীত	সংগীত
সমাজের	সমাজের
মধ্যমণিরূপে	মধ্যমণিরূপে
পরিগণিত	পরিগণিত
হতেন	হতেন

তিনি	তিনি
শুনেই	শুনেই
বুঝতে	বুঝতে
পেরে	পেরে
তার	তার
ঘর	ঘর
থেকেই	থেকেই
ডেকে	ডেকে
বললেন	বললেন
তোমরা	তোমরা
ভেব	ভেব
না	না
গো	গো
আমরা	আমরা
খেয়ে	খেয়ে
এসেছি	এসেছি

তুহিন	তুহিন

ঘুমের	ঘুমের
মধ্যে	মধ্যে
তার	তার
কাছে	কাছে
পাটনা	পাটনা
ভূপাল	ভূপাল
বোম্বাই	বোম্বাই
কলকাতা	কলকাতা
থেকে	থেকে
ঘনঘন	ঘনঘন
ফোন	ফোন
আসছিল	আসছিল

ন্যাফেলিয়াম	ন্যাফেলিয়াম

একটা	একটা
শটে	শটে
মুনমুনকে	মুনমুনকে
একটানা	একটানা
প্রায়	প্রায়
দশ/বারো	দশ/বারো
লাইন	লাইন
সংলাপ	সংলাপ
বলতে	বলতে
হবে	হবে

আলোচ্য	আলোচ্য
অংশটি	অংশটি
হেমচন্দ্র	হেমচন্দ্র
বন্দ্যোপাধ্যায়ের	বন্দ্যোপাধ্যায়ের
লেখা	লেখা
জীবনসঙ্গীত	জীবনসঙ্গীত
নামক	নামক
কবিতা	কবিতা
থেকে	থেকে
নেওয়া	নেওয়া
হয়েছে	হয়েছে

যারা	যারা
এই	এই
দাসত্ব	দাসত্ব
স্বীকার	স্বীকার
করত	করত
না	না
তারা	তারা
আইনের	আইনের
অনুশাসনে	অনুশাসনে
সর্বশান্ত	সর্বশান্ত
হতো	হতো

গ্রহরাজ	গ্রহরাজ
রবি	রবি
জাতকের	জাতকের
দশম	দশম
ক্ষেত্রের	ক্ষেত্রের
অধিপতি	অধিপতি

তার	তার
পেটে	পেটে
বাচ্চা	বাচ্চা
আছে	আছে

আপস্তন্ব	আপস্তন্ব
বচন	বচন
অনুযায়ীও	অনুযায়ীও
তিনি	তিনি
বহুবিবাহ	বহুবিবাহ
নিষিদ্ধ	নিষিদ্ধ
মনে	মনে
করেছিলেন	করেছিলেন

পাঁচজন	পাঁচজন
জার্মান	জার্মান
ভাষাভাষী	ভাষাভাষী
বিজ্ঞানী	বিজ্ঞানী

এক্ষেত্রে	এক্ষেত্রে
প্রথমে	প্রথমে
বুলডোজার	বুলডোজার
দিয়ে	দিয়ে
ওপরের	ওপরের
যাবতীয়	যাবতীয়
বাধাবিঘ্নকে	বাধাবিঘ্নকে
সরিয়ে	সরিয়ে
দেওয়া	দেওয়া
হয়	হয়

অনুষ্ঠানের	অনুষ্ঠানের
সব	সব
ব্যাপারেই	ব্যাপারেই
পরীক্ষা	পরীক্ষা
করা	করা
হয়েছে	হয়েছে
শুধু	শুধু
ধারাভাষ্য	ধারাভাষ্য
রচনা	রচনা
ছাড়া	ছাড়া

এ	এ
সবই	সবই
কবির	কবির
সতর্ক	সতর্ক
সমাজচেতনার	সমাজচেতনার
পরিচয়	পরিচয়
দেয়	দেয়

আমাদের	আমাদের
মুখের	মুখের
দিকে	দিকে
একটুক্ষণ	একটুক্ষণ
তাকিয়ে	তাকিয়ে
থাকল	থাকল
লোকটা	লোকটা

এই	এই
ধরনের	ধরনের
ঘটনার	ঘটনার
সম্ভাব্যতা	সম্ভাব্যতা
দুই	দুই
রকম	রকম
ভাবে	ভাবে
নির্ণয়	নির্ণয়
করা	করা
যায়	যায়

বিকৃত	বিকৃত
মস্তিষ্ক	মস্তিষ্ক
ব্যক্তি	ব্যক্তি
সম্পাদিত	সম্পাদিত
চুক্তির	চুক্তির
ফলাফল	ফলাফল

সহজ	সহজ
প্রাণায়াম	প্রাণায়াম
কুম্ভক	কুম্ভক
