রপ্তানি	﻿রপ্তান
সম্মেলন	সম্মেল
শেষ	শেষ
করলেন	করা
জনের	জন

প্রতিনিধি	প্রতিনিধি

এই	এই
সুখই	সুখ
চিরস্থায়ী	চিরস্থায়

সবচেয়ে	সবচা
বিলাসবহুল	বিলাসবহু
হল	হওয়া
পালকি	পালক
খড়খড়িয়া	খড়খড়

কিন্তু	কিন্তু
কালিদাসের	কালিদা
যুগে	যুগ
ভারতের	ভারত
নগরগুলিতেও	নগরগুলি
আধুনিক	আধুনিক
নগরের	নগর
যন্ত্রের	যন্ত্র
যন্ত্রণা	যন্ত্রণা
কর্মের	কর্
ব্যস্ততা	ব্যস্ত
ও	ও
জটিল	জটিল
বিকৃতি	বিক
ছিল	থাকা
না	না

এইভাবে	এইভাব
গো-বন্দনায়	গো-বন্দনা
মানুষ	মানুষ
নিজেকেই	নিজে
এমন	এমন
মহত্	মহত্
করে	করা
তোলে	তোলা

ওদের	ও
জন্যে	জন্য
কলকাতার	কলকাতা
ফুটবলের	ফুটব
যথেষ্ট	যথেষ্ট
ক্ষতি	ক্ষতি
হচ্ছে	হওয়া

না	না
হলে	হওয়া
আমি	আমি
ও	ও
বেলা	বেলা
আবার	আবার
আসব	আসব

সেই	সেই
বিকেলেই	বিকে
তোতলা	তোতল
গোস্বামী	গোস্বাম
এসে	তিনি
হাজির	হাজির
সঙ্গে	সঙ্গ
গুহ	গুহ
সরকার	সরকার
আর	আর
ভানুবাবু	ভানুবাব

মহাবীর	মহাবী
মেডিক্যাল	মেডিক্যাল
স্টোর্স	স্টোর্
এজরা	এজর
স্ট্রীট	স্ট্রী

কর্তৃপক্ষ	কর্তৃপক্ষ
বাড়তি	বাড়ত
আট	আট
দিন	দিন
উত্পাদন	উত্পাদ
বন্ধ	বন্ধ
রাখার	রাখা
কারণ	কারণ
দেখিয়েছেন	দেখিয়ে
বিক্রি	বিক্র
কম	কম
ও	ও
নগদ	নগদ
টাকার	টাকা
যোগান	যোগান
কম	কম

নিয়তিই	নিয়
জার্মানদের	জার্মান
চালিয়ে	চালানো
নিয়ে	নেওয়া
যাচ্ছে	যাওয়া
কুরুক্ষেত্র	কুরুক্ষেত্
অভিমুখে	অভিমুখ

আগে	আগে
মহিমাময়	মহিমাম
মদ	মদ
খেত	খেত
প্রায়	প্রায়
প্রত্যেক	প্রত্যেক
সন্ধ্যাবেলা	সন্ধ্যাব
বাসায়	বাসা
বসে	বসা
একা	এক
একা	এক

অবশ্য	অবশ্য
অ-সীমিত	অ-সীমি
দায়ের	দা
কারণে	কারণ
অত্যধিক	অত্যধি
ঝুঁকি	ঝুঁকি
গ্রহণ	গ্রহণ
করিয়া	করা
ইহা	ইহা
বেশিদূর	বেশিদূ
অগ্রসর	অগ্রসর
হইতে	হওয়া
পারে	পারা
না	না

যুগের	যুগ
নয়	না
গো	গো
ভালোমান্সের	ভালোমান্
পো	পো

রোগ	রোগ
বাদামী	বাদাম
দাগ	দাগ
রোগ	রোগ
দেখা	দেখা
দিলে	দেওয়া
প্রতি	প্রতি
লিটার	লিটা
জলে	জল
গ্রাম	গ্রাম
ডাইথেন	ডাই
এম-45	এম-4
মিশিয়ে	মিশানো
অনুরূপ	অনুরূ
লিটার	লি
মিশ্রণ	মিশ্রণ
স্প্রে	স্প্র
করুন	করা

কিন্ত	কিন্
ঊনবিংশ	ঊনবিং
শতাব্দীর	শতাব্দী
শেষের	শে
দিকে	দিক
পর্যন্ত	পর্যন্ত

প্রভৃতি	প্রভৃতি
গ্যাসগুলিকে	গ্যাসগুল
প্রায়	প্রায়
বায়ুচাপ	বায়ুচা
পর্যন্ত	পর্যন্ত
চাপের	চাপে
প্রভাবেও	প্রভা
তরল	তর
করা	করা
সম্ভবপর	সম্ভবপ
হয়	হয়
নাই	না

ক্রেডিটের	ক্রেডি
কারবার	কারবা
হইতেছে	হইতা
নগদ-কারবারের	নগদ-কারবা
ঠিক	ঠিক
বিপরীত	বিপরী

রবীন্দ্রনাথ	রবীন্দ্রনাথ
পাক	পাওয়া
তো	তো
ভাল	ভাল
হয়েছে	হওয়া

এখন	এখন
তিনি	তিনি
না	না
এলে	নেওে
সবাই	সবাই
হতাশ	হতাশ
হবেন	হ

আজই	আজ
পিওর	পিও
সিলভিক্রিন	সিলভিক্রি
ব্যবহার	ব্যবহার
করে	করা
দেখুন	দেখা

বিজ্ঞানের	বিজ্ঞা
শিক্ষণীয়	শিক্ষণী
বিষয়গুলি	বিষয়গুল
সম্পর্কে	সম্পর্ক
ধ্যান	ধ্যান
ধারণা	ধারণা
যাচাই	যাচা
করার	করা
জন্য	জন্য
তাদের	তািনি
নিজ	নি
নিজ	নি
শিক্ষার	শিক্ষা
মাধ্যমে	মাধ্যম
সাধারণতঃ	সাধারণত
প্রচলিত	্রচলিত
এবং	এবং
প্রমাণিত	প্রমাণি
পরীক্ষা	পরীক্ষা
পদ্ধতির	পদ্ধতি
দ্বারা	দ্বারা

পরীক্ষা	পরীক্ষা
করা	করা
হয়	হয়

দেশের	দেশ
সাধারণ	সাধারণ
মানুষ	মানুষ
তাহাকে	তিনি
প্রকৃত	প্রকৃত
স্বদেশ	স্বদে
প্রেমিক	প্রেমি
ভাবিয়া	ভাবা
বাহবা	বাহবা
দিল	দেওয়া

কৃষ্ণচূড়ার	কৃষ্ণচূড়া
পাশের	পাশ
লাইট	লাই
পোস্টটার	পোস্টটা
গায়ে	গা
হাত	হাত
রেখে	আসা
লীনা	লীন
চুপ	চুপ
করে	করা
দাঁড়িয়ে	দাঁড়
ছিল	থাকা

বললে	বলা
এই	এই
বই	বই
কিছুতেই	কিছু
এ	এ
দেশে	দেশ
চালানো	চালান
হবে	হওয়া
না	না
এ	এ
তো	তো
অতি	অতি
অশ্লীল	অশ্লী
কেতাব	কেতা
তার	তার
উপর	উপর
পাদ্রিনী	পাদ্রিন
বুকখোলা	বুকখোল
সান্ধ্য	সান্ধ্
পোশাক	পোশাক
পরে	পর
পর্দার	পর্দা
বার	বার
হয়ে	হয়ে
চীনেদের	চীনে
নিমন্ত্রণে	নিমন্ত্রণ
আহ্বান	আহ্বান
করলেন	করা

ঐ	ঐ
ভাবেই	ভাব
তিনি	তিনি
প্রমাণ	প্রমাণ
করেছিলেন	করা
ভগবদ্গীতায়	ভগবদ্গীতা
বর্ণিত	বর্ণি
সেই	সেই
শ্রীকৃষ্ণের	শ্রীকৃষ্
মহত্বাণী	মহত্বাণ
যে	যে
যে-পথেই	যে-প
আমার	আমি
ঈশ্বরের	ঈশ্ব
কাছে	কাছ
আসুক	আসা
না	না
কেন	কেন
সে	তিনি
আমাকে	আমি
পরিশেষে	পরিশ
লাভ	লাভ
করবে	করা

ওই	ও
গো	গো
আবার	আবার
বুঝি	আুঝা
কি	কি
কাণ্ড	কাণ্ড
বাধালে	বাধ

এর	এ
আগে	আগে
খৃঃ	খৃ
ইংলণ্ডের	ইংলণ্
রয়েল	র
সোসাইটি	সোসাইট
তাঁকে	তিনি
রামফোর্ড	রামফোর্
পদক	পদক
দিয়ে	দেওয়া
সম্মানিত	সম্মানি
করে	করা

কিন্তু	কিন্তু
সোহনাই	সোহনা
বা	বা
বাঁদনা	বাঁদন
পরবে	পরব
গোয়ালঘরে	গোয়াল
গোয়াল	গোয়া
পূজা	পূজা
করবার	করা
সময়	সময়
যে	যে
গোরোয়া	গোরোয়
দেবতার	দেবতা
পূজা	পূজা
ঝাড়খণ্ডে	ঝাড়খণ্ড
প্রচলিত	্রচলিত
সেখানে	সেখান
পাঁঠি-ছাগল	পাঁঠি-ছ
বলিদান	বলিদা
সেটা	সে
সম্পূর্ণ	সম্পূর্ণ
রূপে	রূপ
উত্পাদিকা	উত্পাদিক
দেবীর	দেবী
প্রভাব	প্রভাব

কলকাতা	কলকাতা
পুলিশের	পুলি
অশ্ববাহিনী	অশ্ববাহিন
সম্পর্কে	সম্পর্ক
নানা	নানা
বিতণ্ডা	বিতণ্ড
শুনে	আুনা
এবং	এবং
পড়ে	পড়
ঘোড়া	ঘোড়া
না	না
গাধা	গাধ
অতিশয়	অতিশয়
আমোদ	আমোদ
বোধ	বোধ
করছি	করা

জর্জ	জর্
তাকে	তা
আস্বস্ত	আস্বস্
করলো	করল
কোনো	কোন
ভয়	ভয়
নেই	না
জর্জ	জর্জ
যেভাবে	যেভাব
পারে	পারা
রক্ষা	রক্ষা
করবে	করা
তাদের	তিনি

গ্রহদের	গ্রহ
